# Weather station Astana, Kazakhstan, WMO_ID=35188,selection from 04.01.2018 till 31.12.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=35188&lang=en
#
"Local time in Astana";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2018 23:00";"-18.4";"744.8";"780.4";"0.5";"87";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"-10.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-20.0";"0.6";"12";"";"";"";"";
"31.12.2018 20:00";"-17.2";"744.3";"779.6";"0.6";"86";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"-10.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-19.0";"0.6";"12";"";"";"";"";
"31.12.2018 17:00";"-14.8";"743.7";"778.6";"0.8";"84";"Wind blowing from the west-southwest";"1";"";"";"no clouds";"Clouds generally dissolving or becoming less developed. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"";"";"";"";"";"";"-16.9";"";"";"";"";"";"";
"31.12.2018 14:00";"-11.2";"742.9";"777.3";"0.5";"76";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-14.6";"";"";"";"";"";"";
"31.12.2018 11:00";"-12.7";"742.4";"777.1";"0.5";"79";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-14.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-15.6";"0.3";"12";"";"";"";"";
"31.12.2018 08:00";"-14.0";"741.9";"776.7";"1.2";"81";"Wind blowing from the south";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"2500 or more, or no clouds.";"";"";"4.0";"-16.6";"0.3";"12";"";"";"Even layer of loose dry snow covering ground completely.";"18.0";
"31.12.2018 05:00";"-14.6";"740.7";"775.5";"0.4";"84";"Wind blowing from the south";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-16.7";"";"";"";"";"";"";
"31.12.2018 02:00";"-13.5";"740.3";"775.0";"0.7";"84";"Wind blowing from the south-southwest";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-15.6";"";"";"";"";"";"";
"30.12.2018 23:00";"-11.0";"739.6";"773.8";"0.4";"85";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-13.0";"0.6";"12";"";"";"";"";
"30.12.2018 20:00";"-11.5";"739.2";"773.5";"1.5";"84";"Wind blowing from the south";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-13.7";"0.6";"12";"";"";"";"";
